Phrase,Meaning,Is This Accurate?,
"""Ninde ama, pati!""","Your mom, bitch!",51,49
Aaana kunna,Big dick,60,40
Achinga Kunnan,A man with his dick like a beans,58,42
Ajoli ka Thajoli,Transexual,41,59
Andi pidiyan,Dick catcher,54,46
Chandi,Ass,54,46
Ettukali Patti Pooran,Spider Pussy Bitch,50,50
Kandu,Girls pussy,46,54
Kanni,Virgin,50,50
"Kanni mola
rds)",First breast,50,50
Keepu,Concubine,55,45
Kettal,Fucking,53,47
Kolekkeri,Whore,54,46
Koothara,"Cheap, low-class, culture-less",78,22
Koothi,anus,74,26
Koothichi,Bitch,65,35
Koyimani,Penis,37,63
Kundi,Ass,82,18
Kundi mon,Son of a anas,53,47
Kunna,Dick,71,29
Kunna Oli,Dick Sucker,56,44
"Kunna paal
na+creole%29)",Sperm,78,22
Kunna thayoli,Motherfucking Dick,78,22
Lick Me,Anea Nakaa,43,57
Maratel ooki,Tree fucker,75,25
Masa,Prostitute,37,63
Mattanga Poore,Pumpkin Pussy,64,36
Mayiradi mon,Son of the wavy pubic hair,86,14
Mlechan,Ignorant,85,15
Mula Adi,Your boobs swung,50,50
Myre,Pubic hair,71,29
Myrru,Pubic Hair,67,33
Naayi meedan,Dog faced bitch,86,14
Nayinte Mone,Son Of A Bitch,61,39
Nayinte Monne,Son of a Bitch,60,40
Ninte Ammede Kothil.,In your mothers ass hole.,80,20
Ninte ama koondi ishtima,Your mom likes ass,45,55
Ninte ammakku vettu nayinte mone,fuck your mother you son of a bitch,47,53
Ninte ammaku vetu,Fuck your mom,55,45
Ninte ammede thenga mairu,your moms coconut pubes,43,57
Odu myre,run pubic motherfucker,22,78
Oooomb,Fuck off,40,60
Pacha tayolli,green motherfucker,39,61
Pachila Pooran,Green Leaf Pussy Man,85,15
Para kutichi,whore,69,31
Pela molichi,Unfair Girl,47,53
Pela vedi,Most Prostitute,70,30
Pezhachu Pettavan,"One who was born to a
slut",56,44
Poda Thayoli,Fuck you motherfucker,49,51
Pooranddi,Pussy+dick,75,25
Poori mone,Son of big Pussy mother,74,26
"Poorri
%29)",Girl with big puzzy,68,32
Pooru Montha,Cunt Face,60,40
Puchi,Pussy,62,38
Pulayadi monae,Son of a whoremonger,60,40
Purusha Vedi,Gigalo,48,52
Santhosh Pandit,Idiot,70,30
Shukla mughan,sperm face,53,47
"THENGA MYRE
n)",coconut like pubic hair,44,56
Takkali pooru,red hot tomato like pussy,67,33
Thaayoli,Mother fucker,72,28
Thallayoli,Mother Fucker,75,25
Thayoli,Mother Fucker,85,15
Theetam,Human feces,76,24
Thenga pooru,Coconut pussy,86,14
Thevadichi,Prostitute,88,12
Thokolli kalla sami,Sandeep,60,40
Thukal Kunna,Leather penis,65,35
Vadam vali,English,32,68
Vayilitto,Suck my dick,38,62
Veppatti,Bitch / personal prostiute,76,24
Viral Iduka,Fingering,75,25
aan-vedi,man whore,79,21
achante andi,dads dick,83,17
adichu poli,enjoy by fucking,11,89
amminhnha,boobs,62,38
anna kunna,big dick,63,38
appikunna,dirty penis,86,14
"arraykku chuttum poorruu
ullaval","lady having pussy around
waist",79,21
avaraathi,"a man who like to fuck
anywhere",46,54
avarathi mone,mothers dick fucker,44,56
chalam nakki,puss licker,44,56
coondi,bum,65,35
eli kunna,small dick,63,38
inchi mola,young hard boobs,80,20
johninte andi,"small shrivelled black
balls",36,64
kaatu poori,women with forest pussy,87,13
kallel oouuki,stone fucker,62,38
kandara oli,whore,51,49
kandi,shit,69,31
kandi theeni,a person who eats shit,43,57
kara vedi,local area prostitute,82,18
karim kunna,black dick,67,33
karim pooran,black pussy,63,38
katta thayoli,motherfucking asshple,30,70
kazhappu perutha mairan,hairy dick in a wild mood,63,38
kodam nakiii,ass sucker,77,23
kotham,Ass,68,32
kotham kalakki,"fucking hardly through
anus",67,33
kotham nakku,lick my ass,72,28
kuch,fart,58,42
kulamavuka,"damaged and widened by
over fucking",80,20
kundan,gay,87,13
kundaroli poori mone,gay asshole,80,20
kundimol,lady with vibrating ass,75,25
kunji kunnan,man with small pennise,50,50
kunna,penis,80,20
kunna chappu,suck cok,71,29
kunna urunji,dick sucker,65,35
kunnappal,sperm,67,33
kushukk,fart,56,44
malayalam,malayalam,55,45
mola,boobs,76,24
moonchikko,do suck,53,47
mula chappu,suck boobs,77,23
mula kashakku,squeeze boobs,72,28
mula mol,big boobs girl,83,17
nayinte mone,Son of a dog,78,22
ninde andi maire,your dick hair,67,33
ninte ammeda tar,your moms black cum,48,52
"ninte ammede pooru
ds+of+aang+and+korra)",your mothers pussy,71,29
ninte appante andi,your fathers dick,86,14
ookki,fucked,43,57
oomban,sucker,33,67
oombi mon,dick sucker,61,39
paara pooru,less used hard pussy,86,14
paareel ookki,fucking the rock,40,60
paiku vetti,fucking the cow,13,88
"pala thanthakkundaya
thaoli",son born 2 many fathers,78,22
pallinedayil kanthu,clitoris sucking,64,36
pambara kutichi,whore,84,16
pampara thayoli,"fucking mother and
rounding",81,19
panchavarna kunna,a dick with 5 colors,46,54
pandi kallan,tamil thief,33,67
panniyoli,pig fucker,50,50
para andi oomba,other's dick sucker,57,43
para thayoli punda mon,worst man with puzzy,56,44
parii,dick,42,58
pathala poor,deep pussy,75,25
patti poori mon,"a person who have pussy
like dog",65,35
patty theettam,dog shit,78,22
pela vedi kandaroli,huge whore,67,33
petty,ass,57,43
pola vettu,shouting bad words,50,50
poochi,fuck,46,54
"poore ennayil tenni veetil
poda","skid back home in vaginal
oil",52,48
pooru,vagina,90,10
poottaavi,pussy steam,68,32
poottile mathycurry,fish curry inside pussy,75,25
"poyi ninte kunna
oombadaa",Go suck your dick,75,25
poyi oombada,go suck a dick man,63,38
praa thayolli,universal mother fucker,77,23
pudti puliyadi,half breed mongrel,64,36
pundachi mone,sone of a bitch,75,25
rainayude poore,"BIGGEST PUSSY in the world",50,50
shuklam dheeni,sperm eater,66,34
shuklam nakki,sperm licker,76,24
thabala pooran,pussy drummer,86,14
thakara thayoli,BIG damn mother fucker,72,28
thayolee,mother fucker,61,39
thayoli,mother fucker,81,19
thayoli idli,Tamil Motherfucker,65,35
theetta moran,a man whose face like shit,80,20
theettam,shit,83,17
theettathel ookki,fuck with shit,69,31
umman,man who kiss,27,73
vada,navel button on woman,70,30
vali,fart,79,21
vedi,prostitute,75,25
vedi pura,brothel,64,36
vedi vekkuka,fucking,29,71
veshya / veshi,prostitute,65,35
vettukili,nikhil,30,70
vouvalinu undaya thayoli,"son of a bat ,
motherfucker",71,29
